order_id,order_date,region,channel,category,quantity,unit_price,revenue,discount_rate
EC-001,2025-10-03,East,Website,Electronics,2,4500,9000,0.00
EC-002,2025-10-05,West,Marketplace,Food,5,320,1600,0.05
EC-003,2025-10-08,East,App,Clothing,3,850,2550,0.10
EC-004,2025-10-12,Central,Website,Books,4,280,1120,0.00
EC-005,2025-10-15,South,Marketplace,Accessories,2,670,1340,0.05
EC-006,2025-10-18,East,Website,Food,6,450,2700,0.00
EC-007,2025-10-22,North,Phone,Electronics,1,6500,6500,0.00
EC-008,2025-10-25,West,App,Clothing,2,1200,2400,0.15
EC-009,2025-10-28,East,Marketplace,Accessories,3,550,1650,0.05
EC-010,2025-11-02,Central,Website,Electronics,1,9800,9800,0.00
EC-011,2025-11-03,East,Website,Clothing,4,720,2880,0.10
EC-012,2025-11-05,South,Marketplace,Food,8,210,1680,0.05
EC-013,2025-11-08,East,App,Books,2,350,700,0.00
EC-014,2025-11-10,West,Website,Accessories,3,980,2940,0.10
EC-015,2025-11-15,East,Marketplace,Electronics,1,12000,12000,0.05
EC-016,2025-11-18,Central,App,Food,5,420,2100,0.00
EC-017,2025-11-20,North,Website,Clothing,2,1500,3000,0.00
EC-018,2025-11-25,East,Phone,Accessories,1,890,890,0.00
EC-019,2025-11-28,West,Marketplace,Books,6,180,1080,0.10
EC-020,2025-12-01,East,Website,Electronics,2,5500,11000,0.05
EC-021,2025-12-03,South,App,Food,4,380,1520,0.00
EC-022,2025-12-05,East,Marketplace,Clothing,5,950,4750,0.15
EC-023,2025-12-08,Central,Website,Accessories,2,760,1520,0.00
EC-024,2025-12-10,West,Phone,Electronics,1,8500,8500,0.00
EC-025,2025-12-15,East,Website,Books,3,420,1260,0.05
EC-026,2025-12-18,North,Marketplace,Food,6,250,1500,0.10
EC-027,2025-12-22,East,App,Clothing,2,1800,3600,0.00
EC-028,2025-12-25,South,Website,Accessories,3,620,1860,0.05
EC-029,2025-12-28,West,Marketplace,Electronics,1,14500,14500,0.00
EC-030,2026-01-05,East,Website,Food,4,520,2080,0.00
EC-031,2026-01-08,Central,App,Books,2,290,580,0.05
EC-032,2026-01-10,East,Marketplace,Clothing,3,1100,3300,0.10
EC-033,2026-01-15,West,Website,Electronics,1,7800,7800,0.00
EC-034,2026-01-18,South,Phone,Accessories,2,920,1840,0.00
EC-035,2026-01-22,East,Website,Food,5,360,1800,0.05
EC-036,2026-01-28,North,Marketplace,Clothing,2,1350,2700,0.10
EC-037,2026-02-03,East,App,Electronics,1,19500,19500,0.00
EC-038,2026-02-08,Central,Website,Books,3,320,960,0.00
EC-039,2026-02-15,West,Marketplace,Accessories,4,780,3120,0.05
EC-040,2026-02-20,East,Website,Food,6,480,2880,0.00
